SampleLabel,Time,7Li,26Mg,27Al,29Si,31P,43Ca,45Sc,48Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,88Sr,89Y,90Zr
bir-1,34826,700.017,36947.718,25622.958,62737.458,3400.405,200.001,3000.315,3100.336,0,39855.519,3000.315,23920.009,2200.169,18612.116,600.013,500.009,200.001,0,100
bir-1,35216,1000.035,36847.46,24320.685,58218.387,2500.219,1000.035,2200.169,1300.059,100,37649.547,3100.336,23218.854,2900.294,16910.002,1200.05,300.003,100,400.006,700.017
bir-1,35606,1100.042,34140.747,24721.372,56310.763,2100.154,1200.05,2300.185,1000.035,0,46375.151,3700.479,19413.182,3100.336,15308.198,500.009,0,300.003,0,400.006
bir-1,35996,1000.035,35744.663,25823.318,57013.542,2900.294,800.022,3000.315,1300.059,400.006,43265.417,2900.294,19713.593,1500.079,16709.767,700.017,200.001,600.013,400.006,400.006
bir-1,36346,1500.079,33038.159,22818.209,54001.875,2900.294,1000.035,2600.237,1800.113,200.001,43466.025,3300.381,19313.046,2500.219,15107.985,2200.169,200.001,200.001,0,200.001
bir-1,36736,1100.042,36346.178,25122.07,64143.682,2800.274,800.022,4300.647,1400.069,0,44168.174,3900.532,21215.742,4300.647,15708.632,600.013,100,100,200.001,0
bir-1,37125,1000.035,34441.468,23619.51,63540.997,3100.336,2200.169,3000.315,1400.069,200.001,41359.786,4100.588,17310.481,3300.381,16709.767,300.003,100,100,0,200.001
bir-1,37515,900.028,35544.164,26624.788,59925.424,2400.202,2000.14,3300.381,1500.079,100,45271.62,3200.358,23018.53,2600.237,18211.601,900.028,100,0,0,300.003
bir-1,37905,1200.05,39053.308,23319.017,60527.956,3200.358,600.013,3500.429,1800.113,0,40356.923,4400.678,20915.3,2400.202,16709.767,500.009,400.006,400.006,200.001,0
bir-1,38296,700.017,37649.547,20815.153,58017.573,3200.358,1000.035,4000.56,1100.042,0,43666.635,4300.647,25622.958,3400.405,17010.121,800.022,300.003,300.003,0,200.001
bir-1,38685,1100.042,37148.237,24020.177,56009.583,2900.294,1800.113,4500.709,1900.126,0,35243.42,4200.618,18912.511,2600.237,18511.987,1000.035,0,400.006,0,0
bir-1,39036,1000.035,31935.656,25823.318,60929.658,3900.532,900.028,3800.506,1500.079,200.001,41760.95,2700.255,17010.121,3000.315,16008.965,1100.042,300.003,200.001,0,400.006
bir-1,39426,600.013,38953.035,25823.318,52195.178,3300.381,900.028,3800.506,1200.05,0,42964.511,5300.983,21616.342,3800.506,22818.209,800.022,400.006,300.003,0,200.001
bir-1,39815,900.028,37148.237,23319.017,59925.424,3800.506,1500.079,2800.274,900.028,400.006,39654.962,3700.479,19613.455,3000.315,16910.002,500.009,0,0,0,100
bir-1,40205,800.022,40056.079,21916.799,53801.119,2200.169,1200.05,2600.237,1600.09,100,43064.813,3500.429,18511.987,3200.358,18011.347,1200.05,200.001,300.003,100,200.001
bir-1,40595,400.006,36045.417,26524.602,56210.369,2900.294,1600.09,5000.875,1500.079,100,44569.417,4600.741,21015.446,1500.079,17610.848,600.013,200.001,200.001,100,0
bir-1,40985,1200.05,33739.796,27025.539,53801.119,2900.294,400.006,3100.336,1500.079,400.006,37649.547,3500.429,22016.953,2600.237,17811.096,900.028,0,100,100,100
bir-1,41335,1300.059,38050.607,24420.855,55407.241,1600.09,1300.059,5000.875,1600.09,500.009,40758.06,2700.255,21616.342,2100.154,17710.972,900.028,100,300.003,100,0
bir-1,41725,1200.05,38050.607,25222.246,54403.394,3000.315,1100.042,3700.479,1200.05,200.001,40557.49,4900.841,23719.675,2900.294,14907.774,400.006,300.003,200.001,0,200.001
bir-1,42114,500.009,36346.178,20514.719,58218.387,2500.219,1000.035,4200.618,1500.079,100,38251.142,3000.315,18612.116,2500.219,18511.987,500.009,200.001,100,100,100
bir-1,42504,800.022,35343.667,20815.153,54303.013,2800.274,300.003,4300.647,1700.101,500.009,39654.962,3500.429,24020.177,2800.274,21716.494,800.022,0,400.006,200.001,300.003
bir-1,42894,600.013,32837.698,24320.685,60226.687,2400.202,700.017,4400.678,2000.14,0,37850.076,3100.336,19112.777,2200.169,19513.318,1200.05,400.006,300.003,500.009,100
bir-1,43284,800.022,35744.663,25222.246,53198.87,2200.169,1300.059,4000.56,1400.069,400.006,36145.67,4100.588,21716.494,3200.358,16409.419,1700.101,600.013,300.003,0,0
bir-1,43674,800.022,34040.508,22718.049,54202.633,3600.454,1200.05,4600.741,800.022,200.001,45271.62,4800.806,22016.953,2300.185,16309.304,700.017,400.006,300.003,0,100
bir-1,44025,600.013,39454.408,23419.18,51894.084,2600.237,1100.042,4500.709,2000.14,100,35443.915,3000.315,21416.041,2700.255,16409.419,1100.042,100,400.006,100,300.003
bir-1,44414,1100.042,38451.679,23619.51,52797.385,3100.336,700.017,4300.647,2300.185,300.003,38752.49,3700.479,23719.675,2200.169,16509.534,1000.035,1000.035,200.001,300.003,100
bir-1,44804,600.013,35143.173,22617.891,58419.204,2700.255,800.022,3500.429,2000.14,100,38351.41,3100.336,20114.15,1000.035,15408.305,1000.035,100,0,100,0
bir-1,45194,700.017,35844.914,20314.433,54403.394,3600.454,1200.05,3200.358,1200.05,0,42061.831,2900.294,19513.318,2000.14,18511.987,1200.05,0,0,0,100
bir-1,45584,900.028,36847.46,23819.842,57214.343,3000.315,1000.035,4200.618,2200.169,100,39454.408,4200.618,20314.433,2600.237,19813.731,800.022,300.003,100,0,200.001
bir-1,45974,400.006,33940.27,24220.515,53299.243,3100.336,900.028,3200.358,1700.101,300.003,39554.684,4500.709,18011.347,1900.126,18812.379,1200.05,200.001,100,500.009,100
bir-1,46364,700.017,42262.422,24621.199,51693.358,3800.506,1700.101,4200.618,900.028,0,40156.359,5200.947,19613.455,4000.56,16809.884,1200.05,0,0,200.001,100
bir-1,46714,300.003,32436.783,22117.108,52897.755,3200.358,600.013,2800.274,2400.202,200.001,36646.945,2700.255,19212.911,3200.358,13806.669,1300.059,200.001,100,100,200.001
bir-1,47104,700.017,35744.663,19713.593,55206.466,2000.14,800.022,3000.315,1600.09,200.001,34240.986,4300.647,16609.65,2300.185,16809.884,900.028,200.001,300.003,0,100
bir-1,47493,400.006,39053.308,22117.108,53198.87,3400.405,1100.042,3000.315,1300.059,100,44067.865,3200.358,19012.643,3800.506,16910.002,1100.042,100,300.003,0,0
bir-1,47883,800.022,34541.709,26424.416,50188.005,3700.479,800.022,3900.532,1500.079,200.001,33038.159,3400.405,19413.182,2800.274,19212.911,1100.042,300.003,0,0,100
bir-1,48273,600.013,36847.46,24721.372,51492.635,3200.358,1600.09,3500.429,2000.14,200.001,42262.422,3400.405,18411.857,2300.185,15308.198,600.013,300.003,500.009,0,500.009
bir-1,48663,1400.069,38752.49,23218.854,53700.743,1900.126,900.028,3300.381,1400.069,200.001,36446.433,2400.202,19513.318,2400.202,15908.853,800.022,200.001,300.003,0,300.003
bir-1,49013,400.006,33439.09,20514.719,51793.721,2800.274,800.022,3800.506,1500.079,400.006,39755.24,3500.429,18511.987,2800.274,16209.191,1800.113,300.003,200.001,100,100
bir-1,49404,800.022,35143.173,30432.38,55507.629,3100.336,1800.113,3800.506,800.022,100,35443.915,2600.237,18211.601,2400.202,16609.65,700.017,100,300.003,0,300.003
bir-1,49793,1000.035,37047.977,24821.545,51894.084,4000.56,2100.154,3500.429,1900.126,300.003,37248.498,4300.647,18712.247,2400.202,16910.002,800.022,100,0,0,100
bir-1,50183,900.028,34240.986,26825.162,52395.911,2200.169,300.003,2800.274,1600.09,300.003,36346.178,2900.294,20014.01,1800.113,16409.419,1100.042,300.003,200.001,100,400.006
bir-1,50573,500.009,33238.623,24020.177,50288.357,3200.358,1100.042,3400.405,2700.255,500.009,35544.164,3300.381,22217.263,1900.126,15007.879,1700.101,700.017,300.003,100,0
bir-1,50963,900.028,36045.417,21115.594,53499.991,3400.405,900.028,2600.237,2000.14,300.003,34641.951,2800.274,18011.347,2700.255,16609.65,1000.035,0,0,0,200.001
bir-1,51353,1200.05,41259.496,23018.53,50990.84,2600.237,300.003,2700.255,2200.169,300.003,39654.962,2900.294,21716.494,2400.202,17610.848,800.022,400.006,400.006,0,0
bir-1,51703,1400.069,34742.194,25222.246,54804.924,1500.079,900.028,3700.479,1400.069,600.013,35945.165,4200.618,19313.046,2300.185,15808.742,1700.101,200.001,100,400.006,200.001
bir-1,52093,300.003,35844.914,19112.777,58620.025,2500.219,1200.05,3000.315,2600.237,200.001,35243.42,2900.294,18812.379,3300.381,17610.848,1500.079,100,600.013,0,0
bir-1,52482,1300.059,34942.682,23920.009,49585.908,2300.185,900.028,2900.294,2000.14,300.003,38050.607,1900.126,18612.116,3100.336,16409.419,1200.05,0,200.001,0,0
bir-1,52872,800.022,35544.164,25823.318,54905.308,3000.315,1100.042,4100.588,1300.059,0,34140.747,3700.479,16409.419,3200.358,23419.18,900.028,0,300.003,200.001,300.003
bir-1,53262,1200.05,34040.508,26324.231,51894.084,2500.219,1400.069,3400.405,2000.14,300.003,38652.219,5401.021,19112.777,3100.336,15608.522,1300.059,300.003,300.003,0,100
bir-1,53652,600.013,31133.889,20815.153,51693.358,3000.315,1400.069,4400.678,1000.035,400.006,40858.346,3300.381,18011.347,3900.532,17310.481,1600.09,300.003,200.001,0,0
bir-1,54042,400.006,31033.672,25923.5,54001.875,3000.315,1200.05,2900.294,800.022,400.006,36045.417,4200.618,19513.318,2800.274,17710.972,500.009,300.003,300.003,0,100
bir-1,54392,1300.059,36245.924,25823.318,51894.084,2800.274,1100.042,4500.709,1100.042,200.001,37047.977,4500.709,17410.603,3300.381,15708.632,800.022,0,500.009,100,100
bir-1,54782,900.028,34641.951,20915.3,49886.953,2600.237,1700.101,2800.274,900.028,300.003,36346.178,5200.947,18411.857,2900.294,16309.304,900.028,600.013,300.003,0,300.003
bir-1,55172,1200.05,34641.951,22617.891,49686.255,3100.336,1900.126,3500.429,1300.059,200.001,36145.67,2800.274,20014.01,3700.479,16709.767,700.017,200.001,0,200.001,200.001
bir-1,55562,700.017,35343.667,21215.742,44168.174,3200.358,600.013,4600.741,1000.035,400.006,40156.359,5100.911,17510.725,2400.202,18011.347,1100.042,200.001,200.001,300.003,200.001
bir-1,55952,500.009,35443.915,23920.009,51492.635,3000.315,600.013,3900.532,1000.035,400.006,37248.498,4700.773,20114.15,3400.405,20614.863,1600.09,0,300.003,200.001,100
